kana,ipa
ァ,a
ア,a
ィ,i
イ,i
ゥ,ɯ
ウ,ɯ
ェ,e
エ,e
ォ,o
オ,o
カ,ka
ガ,ɡa
キ,ki
ギ,ɡi
ク,kɯ
グ,ɡɯ
ケ,ke
ゲ,ɡe
コ,ko
ゴ,ɡo
サ,sa
ザ,za
シ,ɕi
ジ,Dʑi
ス,sɯ
ズ,Dzɯ
セ,se
ゼ,ze
ソ,so
ゾ,zo
タ,ta
ダ,da
チ,tɕi
ヂ,Dʑi
ツ,tsɯ
ヅ,Dzɯ
テ,te
デ,de
ト,to
ド,do
ッ,Q
ナ,na
ニ,ɲi
ヌ,nɯ
ネ,ne
ノ,no
ハ,ha
バ,ba
パ,pa
ヒ,çi
ビ,bi
ピ,pi
フ,ɸɯ
ブ,bɯ
プ,pɯ
ヘ,he
ベ,be
ペ,pe
ホ,ho
ボ,bo
ポ,po
マ,ma
ミ,mi
ム,mɯ
メ,me
モ,mo
ャ,Ja
ュ,Jɯ
ョ,Jo
ヤ,ja
ユ,jɯ
ヨ,jo
ラ,ɾa
リ,ɾi
ル,ɾɯ
レ,ɾe
ロ,ɾo
ワ,ɰa
ヰ,i
ヱ,e
ヲ,o
ン,N
ヴ,bɯ
ヽ,ヽ
ヾ,ヾ
ー,R
